Estación;Estado;Código ROEA;Situación
PUENTE NAVARRO;Baja;4024;Río
PUENTE NAVARRO;Alta;4051;Embalse
PUERTO VALLEHERMOSO;Alta;4050;Embalse
QUINTANAR DE LA ORDEN;Alta;4201;Río
RENA;Baja;4253;Río
RIVERA DE GUADAJIRA;Baja;4151;Río
ROSAL DE LA FRONTERA;Baja;4175;Río
ROSAL DE LA FRONTERA;Baja;4176;Río
RUECAS;Alta;4043;Embalse
RUECAS (AZUD);Alta;4277;Río
SAELICES;Alta;4124;Río
SANLÚCAR;Baja;4930;Río
SAN SERVÁN;Alta;4248;Río
SANTA AMALIA;Alta;4283;Río
SERENA (ESTERAS);Alta;4270;Río
SERENA (GUADALEMAR);Alta;4271;Río
SERENA (SIRUELA);Alta;4272;Río
SEVILLEJA;Alta;4264;Río
SIERRA BRAVA;Alta;4044;Embalse
SIERRA BRAVA;Alta;4276;Río
SOCUÉLLAMOS;Alta;4129;Río
TABLA DE LA GUARRILLA;Baja;4912;Río
TALAVERA LA REAL;Alta;4165;Río
TENTUDÍA;Alta;4020;Embalse
TOLEDANO;Baja;4913;Río
TORRE ABRAHAM;Alta;4140;Río
TORREBLANCA;Baja;4007;Río
Torre de Abraham;Alta;4001;Evaporimetrica
TORRE DE ABRAHAM;Alta;4007;Embalse
TORRE DE ABRAHAM;Baja;4210;Río
VADO DE TALAVERA LA REAL;Baja;4028;Río
VALDEBOTOA;Alta;4245;Río
VALDECABALLEROS;Baja;4213;Río
VALDEJUDÍOS;Alta;4287;Río
VALLEHERMOSO;Baja;4101;Río
VALLEHERMOSO;Alta;4122;Río
VALMAYOR;Baja;4911;Río
VALVERDE;Alta;4225;Río
VEGA JABALÓN;Alta;4139;Río
VICARIO;Alta;4137;Río
VILLAFRANCA DE LOS CABALLEROS;Alta;4202;Río
VILLALBA;Alta;4236;Río
VILLANUEVA DE LA SERENA;Alta;4014;Río
VILLANUEVA DE LA SERENA;Alta;4105;Río
VILLANUEVA DE LA SERENA;Alta;4217;Río
VILLAR DEL REY;Alta;4015;Embalse
VILLAR DEL REY;Alta;4243;Río
VILLARRUBIA;Alta;4904;Río
VILLARTA DE LOS MONTES;Baja;4908;Río
ZUACORTA;Baja;4909;Río
ZÚJAR;Alta;4006;Embalse
ZÚJAR;Baja;4104;Río
ZÚJAR;Alta;4273;Río
ZÚJAR;Alta;4408;Conduccion
ZÚJAR ORELLANA;Alta;4410;Conduccion
