Estación;Estado;Código ROEA;Situación
ERAUL;Alta;9070;Río
ERISTE;Alta;9145;Río
ERLA;Alta;9187;Río
ESCALES;Alta;9850;Embalse
ESCALÓ;Alta;9252;Río
ESCALONA;Alta;9051;Río
ESCANILLA;Alta;9257;Río
ESCARRA ( SISTEMA );Baja;9832;Embalse
ESPOT;Baja;9237;Río
ESPOT ( SISTEMA );Baja;9855;Embalse
ESTANCA DE ALCAÑIZ;Alta;9819;Embalse
ESTELLA;Alta;9071;Río
ESTENOZ;Alta;9150;Río
EUGUI;Alta;9152;Río
EUGUI;Alta;9825;Embalse
EZCARAY;Baja;9156;Río
FAYÓN;Baja;9028;Río
FISCAL;Baja;9195;Río
FLIX;Baja;9121;Río
FLIX;Alta;9802;Embalse
FRAGA;Alta;9017;Río
FUNES;Alta;9004;Río
GALLIPUÉN;Alta;9820;Embalse
GALLIPUÉN - P. P.;Baja;9201;Río
GALLUR;Alta;9060;Río
GARGANCHÓN;Baja;9037;Río
GARÍNOAIN;Alta;9078;Río
GELSA;Alta;9263;Río
GINASTE;Baja;9130;Río
GONZÁLEZ LACASA;Alta;9811;Embalse
GOPEGUI;Baja;9222;Río
GRADO I;Alta;9847;Embalse
GRAUS;Alta;9013;Río
GRISÉN;Alta;9087;Río
GUARA;Alta;9879;Embalse
GUIAMETS;Alta;9843;Embalse
GUIAMETS - C. E.;Baja;9132;Río
HARO;Alta;9281;Río
HÍJAR;Alta;9014;Río
HORTA DE SAN JUAN;Alta;9153;Río
HUARTE;Alta;9159;Río
HUÉRMEDA;Baja;9009;Río
IGEA;Alta;9139;Río
IGEA - DERECHA;Baja;9419;Conduccion
IGEA - IZQUIERDA;Baja;9436;Conduccion
IMPERIAL DE ARAGÓN;Alta;9403;Conduccion
IMPERIAL DE ARAGÓN - REVERSION;Baja;9426;Conduccion
IRABIA;Alta;9831;Embalse
IREGUA - ALBERCOS;Baja;9406;Conduccion
ISABA;Baja;9077;Río
ISABA;Alta;9268;Río
ISLALLANA;Alta;9036;Río
ISÓBOL;Alta;9256;Río
ITOIZ;Alta;9875;Embalse
IZALZU;Alta;9259;Río
JACA;Alta;9018;Río
JACA ( CENTRAL );Baja;9427;Conduccion
JÁNOVAS;Baja;9194;Río
JARABA;Alta;9056;Río
JAVIERREGAY;Alta;9061;Río
JUBERA;Alta;9058;Río
LA ESTANCA ( ALIMENTADOR );Alta;9432;Conduccion
LAFORTUNADA;Alta;9172;Río
LAFORTUNADA ( CENTRAL );Alta;9467;Conduccion
LAGUNA DE GALLOCANTA;Baja;9870;Embalse
LA MINA;Baja;9081;Río
LANUZA;Alta;9840;Embalse
LA PARDINA;Alta;9230;Río
LA PEÑA;Alta;9836;Embalse
LA PEÑA C. E.;Alta;9298;Río
LA POBLA DE SEGUR;Baja;9146;Río
LA POBLA DE SEGUR;Baja;9181;Río
LARRINOA;Alta;9221;Río
LASCELLAS;Alta;9091;Río
