Estación;Estado;Código ROEA;Situación
JABALERA;Alta;3249;Río
JARAÍZ DE LA VERA;Alta;3234;Río
JERTE - PLASENCIA;Alta;3145;Embalse
LA BAZAGONA;Alta;3184;Río
LA BUJEDA;Alta;3257;Embalse
LA CHINA;Alta;3176;Río
LA FLAMENCA;Baja;3023;Río
LA JAROSA;Alta;3190;Embalse
LA JAROSA;Baja;3190;Río
LA PERALEJA;Alta;3173;Río
LA PORTIÑA;Alta;3013;Embalse
LA PORTUSA;Alta;3012;Río
LA PUEBLANUEVA;Alta;3251;Río
LA RINCONADA;Baja;3241;Río
LAS BARRANCAS;Baja;3914;Río
LAS PICADAS;Baja;3113;Río
LA TAJERA;Alta;3079;Embalse
LORANCA DE TAJUÑA;Alta;3003;Río
LOSAR DE LA VERA;Alta;3229;Río
MADRID ( P. SINDICAL );Alta;3070;Río
MADRIGAL DE LA VERA;Alta;3225;Río
MAJADA;Alta;3261;Río
MALPICA;Alta;3212;Río
MAQUILÓN;Baja;3908;Río
MASEGOSO;Alta;3080;Río
MATALLANA;Alta;3049;Río
MEJORADA DEL CAMPO;Alta;3052;Río
MEMBRÍO;Alta;3169;Río
MINGORRUBIO;Baja;3243;Río
MIRANDA DEL CASTAÑAR;Alta;3218;Río
MOLINO DE CHINCHA;Alta;3201;Embalse
MOLINO DE CHINCHA;Baja;3201;Río
MONROY;Alta;3168;Río
MORALEJA;Alta;3162;Río
MORALES;Alta;3116;Embalse
MURIEL;Alta;3159;Río
NAVACERRADA;Alta;3189;Embalse
NAVACERRADA;Baja;3189;Río
NAVACERRADA;Alta;3467;Conduccion
NAVALCÁN;Alta;3199;Embalse
NAVALCÁN;Baja;3199;Río
NAVALCARNERO;Alta;3179;Río
NAVALMEDIO;Alta;3191;Embalse
NAVALMEDIO;Baja;3191;Río
NAVALUENGA;Alta;3231;Río
NAVAMUÑO;Alta;3247;Embalse
NUÑOMORAL;Alta;3235;Río
ORIHUELA DEL TREMEDAL;Alta;3034;Río
ORUSCO;Alta;3082;Río
PÁLMACES;Alta;3065;Embalse
PÁLMACES;Baja;3065;Río
PAREJA;Baja;3270;Río
PASTRANA;Alta;3271;Río
PEDREZUELA - ALBALÁ;Alta;3046;Río
PEDREZUELA - GARGÜERA;Alta;3047;Río
PEDREZUELA - GUADALIX;Alta;3048;Río
PEGUERINOS;Alta;3228;Río
PERALEDA DE SAN ROMÁN;Alta;3222;Río
PERALEJOS DE LAS TRUCHAS;Alta;3001;Río
PESADILLA;Alta;3054;Río
PICADAS;Alta;3113;Embalse
PICOTEJO;Alta;3194;Río
PIEDRAS ALBAS;Alta;3163;Río
PINILLA;Alta;3196;Embalse
PINILLA;Baja;3196;Río
PORTAJE;Alta;3267;Embalse
PORTIÑA;Baja;3029;Río
PRIEGO (ESCABAS);Alta;3045;Río
PRIEGO - TRABAQUE;Alta;3186;Río
PUENTE ALGODOR;Alta;3014;Río
PUENTE BATAN;Alta;3018;Río
PUENTE DE LA BARCA;Baja;3239;Río
PUENTE NUEVO (C.DEL CURA);Baja;3114;Río
PUENTES VIEJAS;Alta;3155;Embalse
PUENTES VIEJAS;Baja;3155;Río
PUENTES VIEJAS LA NAVA;Alta;3171;Río
PUENTES VIEJAS MADARQUILLOS;Alta;3170;Río
PUENTE TABOADA;Alta;3004;Río
PUENTE TITULCIA;Alta;3174;Río
REAL ACEQUIA DEL JARAMA;Baja;3215;Conduccion
RIOSEQUILLO;Alta;3154;Embalse
RIOSEQUILLO;Baja;3154;Río
RISCO DEL GATO;Baja;3129;Río
RIVERA DE GATA;Alta;3160;Embalse
ROMANONES;Alta;3237;Río
ROSARITO;Alta;3127;Embalse
ROSARITO;Baja;3127;Río
SACEDÓN;Baja;3033;Río
SALOR;Alta;3208;Embalse
SALOR;Baja;3422;Conduccion
SAN JUAN;Alta;3112;Embalse
SAN JUAN;Baja;3112;Río
SAN MARTÍN DE VALDEIGLESIAS;Alta;3180;Río
SANTA MARÍA DEL VAL;Alta;3040;Río
SANTA MARTA DE MAGASCA;Alta;3220;Río
SANTIBÁÑEZ EL BAJO;Alta;3185;Río
SANTILLANA;Alta;3069;Embalse
SANTILLANA;Baja;3069;Río
SANTILLANA MANZANARES;Alta;3071;Río
SANTILLANA SAMBURIEL;Alta;3075;Río
SANTOS DE LA HUMOSA;Alta;3063;Río
SOTOSERRANO;Alta;3200;Río
TALAVERA;Baja;3015;Río
TALAVERA LA VISTILLA;Alta;3024;Río
TALAVERA TEJAR;Alta;3026;Río
TALAYUELA;Baja;3223;Río
TARAVILLAS;Alta;3268;Río
TOLEDO;Baja;3904;Río
TORCÓN;Alta;3166;Embalse
TOROTE;Alta;3193;Río
TORRE DEL BURGO;Alta;3255;Río
TORREJÓN;Alta;3276;Río
TORREJONCILLO;Alta;3265;Río
TORREJÓN - TAJO;Alta;3016;Embalse
TORREJÓN - TAJO;Baja;3016;Río
TORREJÓN TAJO - TORREJÓN - TIÉTAR;Alta;3406;Conduccion
TORREJÓN - TIÉTAR;Alta;3128;Embalse
TORREJÓN - TIÉTAR;Baja;3128;Río
TORREJÓN TIÉTAR - TORREJÓN - TAJO;Alta;3405;Conduccion
TRASVASE ENTREPEÑAS - BUENDÍA;Alta;3401;Conduccion
TRASVASE TAJO - SEGURA;Alta;3402;Conduccion
TRILLO;Alta;3005;Río
TRUJILLO;Alta;3250;Río
TRUJILLO;Alta;3279;Río
VACIAMADRID;Baja;3053;Río
VACIAMADRID;Alta;3177;Río
VALDAJOS;Baja;3909;Río
VALDECABA BAJA;Alta;3233;Río
VALDECAÑAS;Alta;3152;Embalse
VALDECAÑAS;Baja;3152;Río
VALDEMORILLO;Baja;3181;Río
VALDEOBISPO;Alta;3143;Embalse
VALDEOBISPO;Baja;3143;Río
VALDEPEÑAS DE LA SIERRA;Alta;3153;Río
VALENCIA DE ALCÁNTARA;Alta;3278;Río
VALMAYOR;Alta;3181;Embalse
VALVERDE DE LOS ARROYOS;Alta;3165;Río
VELILLA DE SAN ANTONIO;Alta;3273;Río
VENTOSA;Alta;3030;Río
VENTOSILLA;Baja;3903;Río
VILCHES;Baja;3055;Río
VILLALBA;Alta;3100;Río
VILLAMANTILLA;Alta;3198;Río
VILLAMEJOR;Alta;3230;Río
VILLANUEVA DE LA VERA;Alta;3260;Río
VILLAREJO DE MONTALBÁN;Alta;3211;Río
VILLARREAL;Baja;3017;Río
VILLARREAL;Baja;3916;Río
VILLARUBIA DE SANTIAGO;Alta;3259;Río
VILLASECA;Alta;3232;Río
VILLASEQUILLA DE YEPES;Alta;3164;Río
ZORITA;Alta;3008;Embalse
ZORITA;Baja;3008;Río
