Estación;Estado;Código ROEA;Situación
Quintana del Castillo;Alta;2547;Río
QUINTANA DEL PUENTE;Alta;2036;Río
Quintanadueñas;Alta;2159;Río
QUINTANATELLO DE OJEDA;Baja;2003;Río
QUINTANILLA DE ONÉSIMO;Alta;2132;Río
RABAL;Alta;2818;Río
Remolina;Alta;2157;Río
Retuerta;Alta;2006;Evaporimetrica
Riaño;Alta;2014;Evaporimetrica
RIAÑO;Alta;2032;Embalse
RIAÑO;Baja;2067;Río
RIAZA;Alta;2009;Río
RICOBAYO;Alta;2029;Embalse
RIOSECO;Alta;2401;Conduccion
RIVECERVERA DE RUESGA;Alta;2012;Embalse
Robleda;Alta;2502;Río
RUESGA;Alta;2022;Río
Saelices el Chico;Alta;2505;Río
SAHAGÚN;Alta;2073;Río
SALAMANCA;Alta;2087;Río
SALAS DE LOS INFANTES;Alta;2028;Río
Sal. Embalse Barrios de Luna;Alta;2122;Río
SAL. EMBALSE CAMPORREDONDO;Alta;2108;Río
Sal. Embalse de Compuerto;Alta;2037;Río
SALIDA EMBALSE CUERDA DEL POZO;Alta;2001;Río
SALIDA EMBALSE DE AGUILAR;Alta;2020;Río
SALIDA EMBALSE DE ARLANZÓN;Alta;2109;Río
SALIDA EMBALSE DE CERVERA;Alta;2107;Río
Salida Embalse de Irueña;Alta;2503;Río
Salida embalse del Águeda;Alta;2092;Río
SALIDA EMBALSE DE LAS VENCÍAS;Alta;2161;Río
SALIDA EMBALSE DEL PORMA;Alta;2011;Río
Salida embalse de Requejada;Alta;2106;Río
SALIDA EMBALSE DE RIAÑO;Alta;2102;Río
SALIDA EMBALSE DE SANTA TERESA;Alta;2140;Río
SALIDA EMBALSE DE ÚZQUIZA;Alta;2032;Río
SALIDA EMBALSE DE VILLAMECA;Alta;2077;Río
Salida Embalse Pontón Alto;Alta;2526;Río
SALINAS DE PISUERGA;Alta;2019;Río
SALVATIERRA;Baja;2120;Río
SAN ESTEBAN DE GORMAZ;Baja;2007;Río
SAN FELIX DE LA VEGA;Alta;2156;Río
SAN JOSÉ;Baja;2007;Embalse
SAN MAMÉS DE ZALIMA;Alta;2100;Río
SAN MIGUEL DE BERNUY;Baja;2110;Río
SAN MIGUEL DEL PINO;Alta;2054;Río
SAN RAFAEL;Alta;2055;Río
San Salvador de Cantamuda;Alta;2536;Río
SANTA MARINA DEL REY;Alta;2061;Río
Santa Teresa;Alta;2002;Evaporimetrica
SANTA TERESA;Alta;2038;Embalse
SANTERVÁS DE CAMPOS;Alta;2105;Río
SANTIAGO DE LA VALDUERNA;Alta;2713;Río
SAUCELLE;Alta;2004;Embalse
SAUQUILLO DE BOÑICES;Alta;2715;Río
SECOS DE PORMA;Alta;2112;Río
SEGOVIA;Alta;2050;Río
